Term,Category,Definition,Formula_or_Notes
Competitor Search,Structure,Searches referencing competitors,
Compliance,Ops,Adherence to rules,
Consent Mode,Privacy,Consent-based signal handling,
Contextual Alignment,Planning,Content relevance to brand,
Contextual Targeting,Targeting,Targeting based on content,
Control Group,Measurement,Unexposed group used in testing,
Conversion,Measurement,Tracked outcome used for optimisation,
Conversion Action,Tracking,Defined outcome used for optimisation,
Conversion Lift,Measurement,Incremental conversion measurement,
Conversion Rate Ranking,Reporting,Conversion comparison ranking,
Conversion Window,Tracking,Time allowed for conversion credit,
Cookie Syncing,Identity,Alias of ID Syncing,
Copy,Creative,Written ad text,
Cost Cap,Bidding,Target average cost control,
Cost per Lead,Metric,Cost per lead submission,Cost / Leads
COST PER LEAD,Metric,,"Cost / Leads,"
Cost per LPV,Metric,Cost divided by landing page views,
Cost Per Point,Metric,Cost per rating point,Cost / GRPs
COST PER POINT,Metric,,"Cost / GRPs,"
Coverage,Metric,Reach within defined universe,
CPA,Metric,Cost Per Acquisition,Cost / Conversions
CPC,Metric,Cost Per Click,Cost / Clicks
CPE,Metric,Cost Per Engagement,Cost / Engagements
CPL,Metric,Cost Per Lead,Cost / Leads
CPM,Metric,Cost Per Thousand Impressions,Cost / Impressions * 1000
CPP,Metric,Cost per rating point,Cost / GRPs
CPRP,Metric,Cost per target rating point,Cost / TRPs
CPV,Metric,Cost Per Video View,Cost / Video Views
Creative,Creative,Ad asset including copy and visuals,
Creative Fatigue,Creative,Declining performance due to overexposure,
Creative Refresh,Creative,Introducing new assets,
Creative Rotation,Creative,Rules for asset serving,
Creative Testing,Creative,Testing multiple ad variants,
Creative Wearout,Creative,Declining impact from repetition,
CRM,Tech,Customer Relationship Management system,
Cross-device,Identity,User exposure across devices,
Cross-Screen Reach,Metric,Reach across linear and BVOD,
CTA,Creative,Call to action button or prompt,
CTA Rate,Creative,CTA interactions divided by impressions,
CTR,Metric,Click Through Rate,Clicks / Impressions * 100
CTR Formula,Metric,CTR calculation,Clicks / Impressions * 100
CTV,Channel,Connected TV delivered via internet,
Cume Audience,Metric,Cumulative unique viewers,
Custom Audience,Audience,First-party defined audience,
CVR,Metric,Conversion Rate,Conversions / Clicks * 100
DAI,Audio,Dynamic Ad Insertion,
Daily Budget,Budgeting,Spend limit per day,
Daily Cap,Definition,Delivery,"Programmatic,Daily spend limit"
Data Fee,Finance,Cost for audience or data usage,
Data Freshness,Reporting,Latency of reporting updates,
Daypart,Planning,Time-of-day segment,
Dayparting,Targeting,Time-of-day targeting,
De-duplication,Measurement,Removing overlap across screens,
Deal,Trading,Agreed trading terms between buyer and seller,
Deal ID,Programmatic,Identifier used to transact a deal,
Delivery,Delivery,Ability to spend budget and serve ads,
Delivery Insights,Reporting,Explanation for performance behaviour,
Demand,Supply,Buyer interest in inventory,
Demand Side Platform,Platform,Alias of DSP,
Demo,Audience,Demographic group definition,
Demographic Targeting,Audience,Age gender location targeting,
Description,Creative,Supporting ad text,
Deterministic ID,Identity,Logged-in known identifier,
Device Bid Adjustment,Bidding,Bid modifier by device,
Device Graph,Identity,Map linking devices to users,
Digital Audio,Audio,Streamed audio,
Diminishing Reach,Planning,Reduced incremental reach at scale,
Diminishing Returns,Economics,Reduced marginal gains at scale,
Direct Path,Trading,Single hop supply route,
Display,Format,Standard banner advertising,
DKI,Creative,Alias of DKI,
DOOH,Offline,Digital Out of Home,
DoubleVerify,Verification,Verification and suitability provider,
DSP,Programmatic,Demand Side Platform used to buy ads,
Duplication,Metric,Audience overlap between placements,
DV360,Channel,Google Display and Video 360,
DWH,Tech,Data Warehouse,
Dynamic Creative,Creative,Automated asset combinations,
Dynamic Floor,Mechanics,Floor price adjusted algorithmically,
Dynamic Keyword Insertion,Creative,Keyword insertion into ad copy,
eCPC,Bidding,Enhanced CPC automation layer,
eCPM,Metric,Effective CPM across buying,(Cost / Impressions) * 1000
ECPM,Metric,,"(Cost / Impressions) * 1000,"
Effective Rate,Finance,Blended realised rate after fees and discounts,
Effective Reach,Metric,Reach achieving minimum frequency,
Eligible Impressions,Metric,Total impressions available in auctions,
End Card,Video,Final video CTA screen,
Engagement,Engagement,Interactions beyond impression,
Engagement Rate,Metric,Engagements divided by impressions,Engagements / Impressions * 100
ENGAGEMENT RATE,Metric,,"Engagements / Impressions * 100,"
Engagement Rate Ranking,Reporting,Engagement comparison ranking,
Enhanced Conversions,Tracking,Google hashed data feature,
Enhanced CPC,Bidding,Alias of eCPC,
Equivalisation,Planning,Adjusting lengths to 30s equivalent,
Equivalised GRPs,Planning,Normalised GRPs to standard length,
Estimated Reach,Delivery,Predicted unique users,
ETL,Tech,Extract Transform Load,
Even Delivery,Delivery,Spend evenly across time,
Even Pacing,Delivery,Spend delivered evenly across time,
Event,Analytics,Recorded user interaction,
Event Deduplication,Tracking,Preventing double counting,
Event Priority,Tracking,Ranking for limited conversion reporting,
Ex GST,Commercial,Price excluding GST,
Exact Match,Match Type,Triggers on close variant exact queries,
Exclusion,Audience,Users explicitly excluded,
Expanded Text Ad,Creative,Legacy fixed format ad,
Expected CTR,Quality Component,Predicted click likelihood,
Exposed Group,Measurement,Audience that received ads,
FAST,Channel,Free Ad Supported Streaming Television,
Fee,Finance,Fixed or time-based service charge,
Fee Stack,Finance,Cumulative technology and platform fees,
Feed,Placement,Main content feed,
Fill Rate,Supply,Percentage of inventory sold,Filled Impressions / Available Impressions * 100
FILL RATE,Metric,,"Filled Impressions / Available Impressions * 100,"
Final URL,Tracking,Landing page URL,
First Click,Attribution,100 percent credit to first interaction,
First In Break,Placement,First ad position in pod,
First Price Auction,Mechanics,Winner pays own bid,
First-party Data,Data,Data collected directly,
Flight,Planning,Defined broadcast date range,
Flighting,Planning,Scheduling of spend over time,
Fraud,Governance,Invalid or deceptive traffic,
Free To Air TV,Channel,Ad-supported broadcast television,
Frequency,Metric,Average exposures per reached viewer,
Frequency Cap,Delivery,Maximum exposures per user,
Frequency Distribution,Reporting,Exposure spread across users,
Frequency Optimisation,Definition,Planning,"TV,Managing exposure repetition"
FTA TV,Channel,Alias of Free To Air TV,
Full Funnel,Strategy,Integrated upper mid and lower funnel approach,
GA4,Analytics,Google Analytics 4,
GAM,Publisher,Google Ad Manager,
GCLID,Tracking,Google Click Identifier,
GEO,Channel,Generative Engine Optimisation,
Geo Lift,Measurement,Regional test vs control analysis,
Geo Targeting,Targeting,Location-based targeting,
GIVT,Governance,General Invalid Traffic,
Governance,Governance,Decision and control framework,
Gross Cost,Finance,Media cost including fees,Definition varies by contract
Gross Margin,Finance,Revenue minus cost of goods,(Revenue - COGS) / Revenue
GROSS MARGIN,Finance,,"(Revenue - COGS) / Revenue,"
Gross Media Cost,Finance,Cost before tech fees,
Gross Rating Points,Metric,Alias of GRP,
GRP,Metric,Gross Rating Points,Reach percent × Frequency
GST,Commercial,Goods and Services Tax in Australia,10% tax
GTM,Tracking,Google Tag Manager,
Hard Floor,Mechanics,Floor that must be met,
Hashed Email,Data,Encrypted identifier,
Header Bidding,Mechanics,Parallel auction before ad server,
Headline,Creative,Headline text element,
Hidden Margin,Trading,Undisclosed intermediary fees,
High Top of Page Bid,Metric,Upper bound bid estimate,
Hold Rate,Metric,Views retained past midpoint,
Holdout,Measurement,Audience excluded to measure incrementality,
Holdout Test,Measurement,Control vs exposed experiment,
Hook Rate,Metric,Views in first seconds divided by impressions,
Household Reach,Metric,Unique households exposed,
IAB,Industry,Interactive Advertising Bureau Australia,
IAB Australia,Industry,Australian industry body,
IAS,Verification,Integral Ad Science verification tool,
ID Syncing,Identity,Sharing identifiers between platforms,
Identity Resolution,Identity,Matching users across IDs,
Impression Optimisation,Bidding,Optimise for impressions,
Impression Share,Metric,Percentage of eligible impressions received,Impressions / Eligible Impressions * 100
IMPRESSION SHARE,Metric,,"Impressions / Eligible Impressions * 100,"
Impressions,Delivery,Total ad servings,
In-Stream,Placement,Video mid-roll placement,
Inc GST,Commercial,Price including GST,
Incremental BVOD Reach,Metric,Reach beyond linear TV,
Incremental Reach,Metric,Additional reach beyond base plan,
Incrementality,Measurement,Outcomes caused by media not correlation,
Influencer,Channel,Creator led promotion,
Informational Intent,Optimisation,Research-based search behaviour,
Initiate Checkout,Metric,Checkout start event,
Interest Targeting,Audience,Declared interest-based targeting,
Inventory,Supply,Available ad impressions,
Inventory Quality,Governance,Assessment of supply quality,
Invoice,Finance,Billing document issued by supplier,
IO,Commercial,Insertion Order used to book media,
IVT,Governance,Invalid traffic classification,
Keyword,Structure,Search term advertisers bid on,
Keyword Contextual,Targeting,Contextual keyword matching,
Keyword Coverage,Planning,Extent of category keyword presence,
Keyword Level Optimisation,Optimisation,Optimising at keyword level,
Keyword Mining,Optimisation,Adding new keywords from SQR,
Keyword Overlap,Optimisation,Multiple keywords triggering same query,
KPI,Measurement,Key Performance Indicator used to measure success,
Landing Page Experience,Quality Component,User experience quality score,
Landing Page View,Metric,Loaded destination page,
Last Click,Attribution,100% credit to final click before conversion,
Last In Break,Placement,Last ad position in pod,
Latency,Mechanics,Delay in auction processing,
Lead Gen Form,Format,Platform-hosted lead capture,
Learning Diagnostics,Reporting,Learning phase status insights,
Learning Limited,Optimisation,Insufficient signals for stable learning,
Learning Phase,Optimisation,Initial delivery stabilisation period,
Length,Creative,Duration of TV ad,Common lengths 15 30 seconds
Lifetime Budget,Budgeting,Spend limit across campaign duration,
Lift,Measurement,Difference between exposed and control groups,
Lift Study,Measurement,Incrementality measurement framework,
Limited Delivery,Delivery,Restricted delivery due to constraints,
Line Item,Structure,Buying rule container,
Linear Attribution,Attribution,Equal credit to all touchpoints,
Linear TV,Channel,Traditional scheduled broadcast television,
Link CTR,Metric,CTR measured on link clicks only,
LinkedIn Ads,Channel,LinkedIn advertising platform,
LinkedIn Lead Gen Form,Format,Native lead capture form,
LinkedIn Message Ads,Format,Direct message advertising,
LinkedIn Sponsored Content,Format,Native feed advertising,
Live TV,Channel,Real-time broadcast viewing,
Location Bid Adjustment,Bidding,Bid modifier by geography,
Location Extension,Creative,Business address display,
Log-level Data,Reporting,Impression-level delivery data,
Lookalike,Audience,Modelled similar audience,
Lookalike Audience,Audience,Modelled audience based on seed,
Lost IS Budget,Metric,Impression share lost due to budget limits,
Lost IS Rank,Metric,Impression share lost due to ad rank,
Low Top of Page Bid,Metric,Lower bound bid estimate,
Low-quality Inventory,Governance,Alias of MFA,
Lower Funnel,Strategy,Conversion-focused activity,
Lowest Cost,Bidding,Optimise for cheapest results,
LPV,Metric,Alias of Landing Page View,
LTV,Metric,Customer Lifetime Value,AOV * Frequency * Margin * Lifetime
Macro Conversion,Analytics,Primary business outcome,
Makegood,Delivery,Replacement inventory for under-delivery,
Manual CPC,Bidding,Advertiser sets bids manually,
Manual Placements,Delivery,Advertiser-selected placements,
Margin,Finance,Agency revenue after costs,(Revenue - Cost) / Revenue
Markup,Finance,Added margin to cost price,
Match Type,Structure,Rule defining how keywords match queries,
Max CPC,Bidding,Maximum cost per click bid,
Maximise Conversion Value,Bidding,Automated value optimisation strategy,
Maximise Conversions,Bidding,Automated conversion volume strategy,
MBA,Commercial,Media Booking Authority approving media spend,Client sign-off mechanism
Measurement,Reporting,Tracking and reporting of outcomes,
Media Mix,Planning,Distribution of budget across channels,
Media Owner,Media,Alternative term for publisher,
Media Plan,Planning,Document outlining channels budgets and deliverables,
MER,Metric,Marketing Efficiency Ratio,Total Revenue / Total Marketing Spend
Messenger,Placement,Ad placement within messages,
Meta Ads,Channel,Facebook and Instagram advertising platform,
Metro TAM,Measurement,Metropolitan TV measurement,
MFA,Governance,Made for Advertising inventory,
Micro Conversion,Analytics,Small intent signal,
Mid Funnel,Strategy,Consideration-focused activity,
Min CPC,Bidding,Minimum bid to enter auction,
MMM,Measurement,Marketing Mix Modelling using econometrics,
Moat,Verification,Viewability and attention measurement,
MOVE,Measurement,Australian OOH measurement framework,
MSA,Commercial,Master Services Agreement governing the relationship,
MTA,Attribution,Multi-Touch Attribution,
Multivariate Test,Testing,Testing multiple variables at once,
Native,Channel,Content styled advertising,
Navigational Intent,Optimisation,Brand or destination search,
NDA,Commercial,Non-Disclosure Agreement,
Negative Broad,Match Type,Blocks related terms broadly,
Negative Exact,Match Type,Blocks exact search term,
Negative Keyword,Structure,Keyword that blocks ad triggering,
Negative Phrase,Match Type,Blocks phrase-based terms,
Negotiated Rate,Media,Discounted pricing,
Net Cost,Finance,Media cost before agency fees,Definition varies by contract
Net Margin,Finance,Profit after all costs,Net Profit / Revenue
NET MARGIN,Finance,,"Net Profit / Revenue,"
Net Media Cost,Finance,Cost after tech fees,
Net Reach,Metric,Unique audience exposure,
Non-Brand Search,Structure,Generic category searches,
Non-skippable Video,Format,User must view ad,
North Star Metric,Measurement,Single metric reflecting business value,
OAIC,Governance,Australian privacy regulator,
Objective,Optimisation,Primary campaign optimisation goal,
Off Peak,Planning,Lower viewing period,
Offline Conversion,Tracking,Uploaded offline outcomes,
OKR,Measurement,Objectives and Key Results framework,
OOH,Offline,Out of Home advertising,
Open Auction,Trading,Open exchange available to all buyers,
Optimisation Event,Optimisation,Event the algorithm learns against,
OTS,Metric,Opportunities To See,Estimated exposures
OTT,Video,Over-the-top streamed content,
Outbound CTR,Metric,CTR excluding platform interactions,
Outbrain,Channel,Native advertising platform,
Outranking Share,Metric,How often you outrank competitors,
Outstream Video,Format,Video outside player environment,
Over-delivery,Delivery,Delivered volume above booked amount,
Overlap Rate,Metric,How often competitor appears with you,
OzTAM,Measurement,Australian TV audience measurement body,
Pacing,Delivery,Rate of spend delivery versus plan,
Pacing Control,Delivery,Spend regulation logic,
Paid Search,Channel,Alias of SEM,
Paid Social,Channel,Paid advertising across social platforms,
Panel,Measurement,Sample of households measured,
Panel Weighting,Measurement,Adjusting sample to population,
Pay TV,Channel,Subscription-based television,
Peak,Planning,Highest audience concentration,
Persona,Audience,Fictional profile for planning,
PG,Trading,Alias of Programmatic Guaranteed,
Phrase Match,Match Type,Triggers on phrase meaning,
Pinterest Ads,Channel,Pinterest advertising,
Pitch,Commercial,Competitive agency selection process,
Pixel,Tracking,Tracking tag for conversions and audiences,
Placement,Delivery,Location where ad appears,
Platform Reporting,Reporting,Native platform metrics,
Playbook,Ops,Defined best practice guide,
PMP,Programmatic,Private Marketplace deal,
PO,Commercial,Purchase Order issued by a client,
Podcast,Audio,On demand audio content,
Portfolio Bid Strategy,Bidding,Bid strategy shared across campaigns,
Position Above Rate,Metric,How often competitor outranks you,
Position Based,Attribution,More credit to first and last touchpoints,
Position in Break,Placement,Order of ad within pod,
Post-bid Blocking,Governance,Blocking after impression,
Post-buy,Delivery,Campaign reporting after completion,
Pre-bid Blocking,Governance,Blocking before auction,
Prebid,Mechanics,Open-source header bidding framework,
Preferred Deal,Programmatic,Fixed price non-guaranteed deal,
Price Extension,Creative,Product or service pricing,
Primary Conversion,Measurement,Used for bidding decisions,
Primary Demo,Audience,Main buying audience,
Primary Metric,Measurement,Main decision-making metric,
Primary Text,Creative,Main body copy,
Prime Time,Planning,High viewing period evening,
Privacy Act,Governance,Australian privacy legislation,
Private Marketplace,Trading,Alias of PMP,
Probabilistic ID,Identity,Modelled identifier,
PROFIT MARGIN,Finance,,"(Revenue - Cost) / Revenue,"
Program,Context,Specific TV show or content,
Program Affinity,Planning,Audience alignment with demo,
Program Break,Placement,Ad break within programming,
Programmatic,Channel,Automated buying and selling of digital media,
Programmatic Display,Channel,Automated display advertising,
Programmatic Guaranteed,Programmatic,Guaranteed impressions at fixed price,
Project Fee,Finance,Fixed fee for defined scope,
Promotion Extension,Creative,Sale or offer messaging,
Prospecting,Audience,Targeting new audiences,
Publisher,Media,Inventory owner,
Purchase,Metric,Completed transaction,
QA,Operations,Quality assurance checks,
QBR,Operations,Quarterly Business Review,
QS,Metric,Alias of Quality Score,
Quality Ranking,Reporting,Ad quality vs competitors,
Quality Score,Metric,Diagnostic estimate of ad quality,
Query Level Optimisation,Optimisation,Optimising at search term level,
Query Matching,Mechanics,How keywords match queries,
Radio,Audio,Broadcast radio,
Rate Card,Media,Published pricing,
Rating,Metric,Percentage of audience watching,
Rating Point,Metric,Alias of Rating,
Reach,Metric,Percentage of target audience exposed,
Reach Curve,Planning,Relationship between spend and reach,
Reach Lift,Measurement,Incremental reach measurement,
Reach Optimisation,Bidding,Optimise for reach delivery,
Real Time Bidding,Mechanics,Alias of RTB,
Reconciliation,Finance,Matching invoices to bookings and delivery,
Reels,Placement,Short-form vertical video placement,
Reforecast,Delivery,Updated delivery projection based on actuals,
Regional TAM,Measurement,Regional TV measurement,
Remarketing,Audience,Alternative term for retargeting,
Reseller,Supply,Intermediary authorised to sell inventory,
Reservation,Trading,Guaranteed booked inventory,
Reset Learning,Optimisation,Change that restarts learning phase,
Retail Media,Commerce,Ads sold by retailers using first-party data,
Retainer,Finance,Ongoing monthly service fee,
Retargeting,Audience,Targeting users who previously engaged,
Return Path Data,Measurement,TV viewing data from devices,
Revenue Recognition,Finance,When revenue is recognised for accounting,P&L policy dependent
Reverse Brief,Planning,Agency response confirming approach,
RFP,Commercial,Request for Proposal,
RFQ,Commercial,Request for Quote,
Risk Register,Governance,Tracked risks and mitigations,
Roadmap,Ops,Planned future work,
ROAS,Metric,Return on Ad Spend,Revenue / Ad Spend
ROI,Metric,Return on Investment,(Return - Cost) / Cost
RSA,Creative,Responsive Search Ad format,
RTB,Mechanics,Real Time Bidding per impression,
SA360,Channel,Search Ads 360,
Safe Area,Creative,Visible content area,
Sales Lift,Measurement,Incremental sales measurement study,
Search,Channel,Paid search advertising,
Search Attribution Model,Tracking,Rule assigning conversion credit,
Search Budget Elasticity,Economics,Impact of spend changes on volume,
Search Campaign,Structure,Top-level paid search container,
Search Conversion Lag,Measurement,Time between click and conversion,
Search Coverage Gap,Planning,Missing keyword opportunities,
Search Demand,Planning,Volume of relevant queries,
Search Intent,Optimisation,Underlying user motivation,
Search IS,Metric,Alias of Impression Share,
Search Lift,Measurement,Increase in search after TV exposure,
Search Lost Impression Share,Metric,Total lost opportunity,
Search Query Report,Reporting,List of actual triggering queries,
Search Saturation,Definition,Economics,"Search,Point where more spend adds minimal value"
Search Term,Structure,Actual user query that triggered ad,
Search Volume,Metric,Estimated average query count,
Seat,Account,Buyer account within DSP,
Second Price Auction,Mechanics,Winner pays next highest bid plus increment,
Second-party Data,Data,Partner shared data,
Secondary Conversion,Measurement,Tracked but not optimised towards,
Secondary Demo,Audience,Additional reporting audience,
Secondary Metric,Measurement,Supporting metric,
Seed Audience,Audience,Source list for modelling,
Segment,Audience,Subset of users,
Sellers.json,Governance,Transparency file listing sellers,
SEM,Channel,Search Engine Marketing paid activity,
Semantic Targeting,Targeting,Meaning-based contextual targeting,
SEO,Channel,Search Engine Optimisation,
Server-side Tracking,Tracking,Server based tracking,
Server-Side Tracking,Tracking,Events sent via server infrastructure,
Set Top Box Data,Measurement,Viewing data from STB devices,
sGTM,Tracking,Server Google Tag Manager,
Share of Audience,Metric,Audience share for program,
Share of Voice,Metric,Brand presence versus competitors,
Sitelinks,Creative,Additional page links,
SIVT,Governance,Sophisticated Invalid Traffic,
Skippable Video,Format,User can skip ad,
SLA,Commercial,Service Level Agreement defining response times,
Smart Bidding,Bidding,Automated bidding using machine learning,
Snap Ads,Channel,Snapchat advertising,
Snowflake,Tech,Cloud data warehouse,
Social Campaign,Structure,Top-level campaign container,
Soft Floor,Mechanics,Floor that can be bypassed,
SOV,Metric,Alias of Share of Voice,
SOW,Commercial,Statement of Work defining scope and deliverables,
Spec Sheet,Creative,Publisher requirements,
Spend Cap,Budgeting,Maximum allowed spend,
SPO,Programmatic,Supply Path Optimisation,
Spot,Placement,Individual TV ad placement,
Spot Length Weighting,Planning,Impact by ad duration,
SQR,Reporting,Alias of Search Query Report,
SSP,Programmatic,Supply Side Platform used by publishers,
Stories,Placement,Full-screen vertical placement,
Structured Snippets,Creative,Predefined category values,
Suitability,Governance,Controls for brand-appropriate content,
Supply,Supply,Total available inventory,
Supply Path,Trading,Route from buyer to publisher,
Supply Path Optimisation,Trading,Alias of SPO,
Supply Side Platform,Platform,Alias of SSP,
Suppression,Audience,Excluded users,
SVOD,Channel,Subscription Video On Demand,
T&Cs,Commercial,Terms and Conditions applying to services,
Taboola,Channel,Native content discovery platform,
Tag,Tracking,Script used for tracking,
Take Rate,Finance,Percentage retained by intermediaries,
Target CPA,Bidding,Alias of tCPA,
Target Rating Points,Metric,Alias of TRP,
Target ROAS,Bidding,Alias of tROAS,
tCPA,Bidding,Target cost per acquisition strategy,
Teads,Channel,Video distribution platform,
Technology Fee,Finance,DSP or platform fee,
Test and Learn,Planning,Structured experimentation approach,
The Trade Desk,Channel,Independent DSP,
ThinkTV,Industry,Australian TV industry planning body,
Third-party Data,Data,External aggregated data,
Third-party Reporting,Reporting,External measurement tools,
ThruPlay,Metric,15s or full-length video view,Meta definition
Thumbstop Rate,Metric,Users stopping scroll to view video,
TikTok Ads,Channel,TikTok advertising platform,
TikTok In-Feed,Format,Native feed video format,
TikTok Spark Ads,Format,Creator-post amplification format,
TikTok TopView,Format,Premium takeover video format,
Time Bid Adjustment,Bidding,Bid modifier by time of day,
Time Decay,Attribution,More credit to later touchpoints,
