id,best_practice
12,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: direct publisher (direct)."", ""Digital channels enabled: Digital Audio."", ""Offline channels enabled (planned outside this digital best-practice, listed for reference): Radio."", ""Direct publisher - Assembled typically buys via insertion order, PMP or programmatic guaranteed deals negotiated with the publisher/sales house.""]}, {""heading"": ""Digital Audio"", ""items"": [""Upper-funnel reach and frequency channel for screen-free moments across streaming music, radio streaming and podcasts; not a direct-response workhorse on its own."", ""Write audio-first 15s/30s spots with an early brand mention and single spoken CTA, always attach a clickable companion banner, and use a consistent sonic/audio logo for recall."", ""Note billing differs by partner (Spotify bills CPCL/completed listens vs CPM elsewhere) so normalise before comparing; cap frequency across the buy and triangulate measurement with pixels, promo codes and lift studies.""]}, {""heading"": ""Publisher-specific notes"", ""items"": [""SCA is a national audio network (Triple M, Hit Network) whose digital audio and podcasts sell through its LiSTNR platform and first-party registered-listener data."", ""Strong metro + regional radio streaming reach; use LiSTNR audience segments for targeted digital audio rather than broad simulcast alone."", ""Pair audio with a companion banner and a clear verbal CTA, and note Spotify-style CPCL vs CPM differences when comparing partners.""]}]}"
13,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: direct publisher (direct)."", ""Digital channels enabled: Digital Display, Digital Audio, Digital Video, BVOD (Broadcaster Video On Demand), Search, Social Media, Programmatic Display, Programmatic Video, Programmatic BVOD, Programmatic Audio, Programmatic OOH (DOOH), Content Integration & Sponsorship, Influencers."", ""Offline channels enabled (planned outside this digital best-practice, listed for reference): Television, Radio, Newspaper, Magazines, Out-of-Home (OOH), Cinema."", ""Direct publisher - Assembled typically buys via insertion order, PMP or programmatic guaranteed deals negotiated with the publisher/sales house.""]}, {""heading"": ""Digital Display"", ""items"": [""Cost-efficient reach, always-on presence and retargeting; strong for warm site/CRM audiences but a low-CTR, largely view-through channel for prospecting."", ""Traffic the full IAB suite (300x250, 728x90, 300x600, 320x50, 320x100) with responsive HTML5 plus static fallbacks; split prospecting and retargeting into separate line items with their own creative, caps and measurement."", ""Lean on contextual, first-party and PMP audiences as third-party cookies deprecate, target viewability above 70% verified independently (DV/IAS), and cap frequency (~3/day) to control cost.""]}, {""heading"": ""Digital Audio"", ""items"": [""Upper-funnel reach and frequency channel for screen-free moments across streaming music, radio streaming and podcasts; not a direct-response workhorse on its own."", ""Write audio-first 15s/30s spots with an early brand mention and single spoken CTA, always attach a clickable companion banner, and use a consistent sonic/audio logo for recall."", ""Note billing differs by partner (Spotify bills CPCL/completed listens vs CPM elsewhere) so normalise before comparing; cap frequency across the buy and triangulate measurement with pixels, promo codes and lift studies.""]}, {""heading"": ""Digital Video"", ""items"": [""Sight-sound-motion storytelling for awareness and consideration, and a way to extend TV/BVOD reach into lighter and younger, digital-first viewers."", ""Choose format by goal (6s bumpers for reach, skippable in-stream for consideration, 15s non-skippable for a guaranteed message), front-load branding in the first 5 seconds, and supply vertical/square cuts - not just a 16:9 master."", ""Buy skippable on CPV and bumpers/non-skippable on CPM; judge on viewable completion rate (VTR/VCR) verified by DV/IAS, not out-of-view or muted auto-play completions.""]}, {""heading"": ""BVOD (Broadcaster Video On Demand)"", ""items"": [""Premium, brand-safe, full-screen non-skippable TV-quality reach in a lean-back environment (AU players: 7plus, 9Now, 10 Play, SBS On Demand); an upper-funnel channel, not click-driven."", ""Use broadcaster first-party login data for demo/geo/genre targeting, supply broadcast-grade 15s/30s masters, and prioritise big-screen/CTV delivery where co-viewing and impact are highest."", ""Traded on CPCV (guaranteed completed views); the biggest risk is over-delivery, so enforce cross-device, cross-broadcaster frequency capping at plan level rather than trusting each publisher's siloed cap.""]}, {""heading"": ""Search"", ""items"": [""Harvests existing high-intent demand rather than creating awareness; always run a brand campaign to defend the SERP, and keep brand and non-brand in separate campaigns so blended CPA/ROAS never flatters non-brand."", ""Use Responsive Search Ads (12-15 headlines, 4 descriptions, minimal pinning) with all extensions populated, and maintain a rigorous negative-keyword list reviewed weekly."", ""Match bid strategy to goal (tCPA lead-gen, tROAS ecommerce), give Smart Bidding ~30+ conversions/30 days before tightening targets, and judge on CPA/conversions or ROAS/revenue - CTR and CPC are diagnostics only.""]}, {""heading"": ""Social Media"", ""items"": [""Works across the funnel but pick platforms by where the audience genuinely is; lead with broad targeting plus strong creative and let the algorithm find buyers rather than over-narrowing interests."", ""Design creative per placement (9:16 vertical for Reels/Stories/TikTok, 1:1 or 4:5 in-feed), built for sound-off with captions and a hook in the first 1-2 seconds; ship multiple variants per ad set."", ""Implement CAPI (server-side) to recover post-iOS signal, consolidate ad sets to exit learning (~50 events/ad set/week), and reconcile in-platform ROAS against GA4/CRM and incrementality.""]}, {""heading"": ""Programmatic Display"", ""items"": [""Scaled, automated, data-driven display bought from one DSP across many publishers, with the key advantage of cross-publisher frequency deduplication and centralised optimisation."", ""Split prospecting and retargeting into separate line items, weight the PMP-vs-open-exchange mix to brand-safety needs, and apply supply-path optimisation to cut hidden reseller fees."", ""Use pre-bid viewability and brand-safety segments, target viewability above 70% verified by DV/IAS (not DSP-reported), and validate incrementality rather than crediting every view-through.""]}, {""heading"": ""Programmatic Video"", ""items"": [""Scaled, automated video across web, in-app and CTV with centralised audience targeting and cross-publisher frequency control; deploy for awareness/consideration where viewable completed views are the goal."", ""Match format to goal (6s bumpers, skippable, 15s non-skippable), front-load brand in the first 5 seconds, and supply vertical/square cuts with correct VAST specs per exchange."", ""Buy skippable on CPV/CPCV and bumpers on CPM, optimise to viewable completion rather than cheap CPM, and watch for auto-play/muted or fraudulent completions inflating VCR on cheap supply.""]}, {""heading"": ""Programmatic BVOD"", ""items"": [""Buys premium AU BVOD inventory (7plus, 9Now, 10 Play, SBS On Demand) programmatically via PMP/PG, adding DSP-level audience and frequency management to full-screen non-skippable TV-quality reach."", ""Access broadcaster first-party data through PMP deals for demo/geo/genre targeting, supply broadcast-grade 15s/30s masters, and prioritise big-screen/CTV for impact and co-viewing."", ""Traded on CPCV; enforce a single plan-level cross-broadcaster frequency cap in the DSP - over-delivery is the biggest risk when broadcasters cap in isolation.""]}, {""heading"": ""Programmatic Audio"", ""items"": [""Digital audio bought at scale programmatically across streaming, radio streaming and podcast SSPs from one DSP, with centralised frequency management; still an upper-funnel channel."", ""Target by demo/genre/mood/daypart and first-party segments, attach companion banners with a verbal CTA, and separate scalable dynamically-inserted streaming spots from premium host-reads (direct/PMP)."", ""Streaming/podcasts typically trade on CPM while some partners (Spotify) bill CPCL - normalise before comparing; triangulate the immature AU audio measurement with pixels, promo codes and lift studies.""]}, {""heading"": ""Programmatic OOH (DOOH)"", ""items"": [""Flexible, data-triggered DOOH across roadside, retail, transit and place-based screens (oOh!media, JCDecaux, QMS inventory) bought via a DSP/SSP; enables dayparting, triggers and dynamic creative that classic OOH lacks."", ""Plan and value audiences against MOVE 2.0 (Visibility Adjusted Contacts), build creative to each screen's native resolution/aspect ratio as glance media, and use triggers (weather, location, live data) via DCO."", ""Buy on MOVE-derived impressions, not screen plays (apply the impression multiplier); target attention/dwell (>~2.5s) and measure exposure/footfall and brand lift, not clicks.""]}, {""heading"": ""Content Integration & Sponsorship"", ""items"": [""Embeds the brand naturally within trusted editorial, entertainment or talent-led content; a considered, longer-lead investment for credibility and engagement, not an always-on performance lever."", ""Select the partner/talent for editorial and audience alignment, co-develop creative in the publisher's voice with clear guardrails, and negotiate repurposing rights up front to extend value."", ""Bought on fixed-cost/bespoke packages with no standard in-flight KPI; measure on reach, engagement and brand lift, and ensure sponsored content is clearly disclosed to meet ACMA and AANA rules.""]}, {""heading"": ""Influencers"", ""items"": [""AU is a premium influencer market - creator rates typically run ~10-20% above equivalent US rates, so brief and budget accordingly and confirm deliverables and usage terms up front."", ""Brief on engagement rate by tier (a healthy guide is ~3-7%), mandate clear #ad/disclosure to meet ACMA and AANA rules, and secure whitelisting/creator licensing rights where the content will be used for paid amplification.""]}]}"
14,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: internal biddable seat (internal_biddable)."", ""Digital channels enabled: Programmatic Display."", ""Internal biddable seat - Assembled activates this in-house through a self-serve/DSP or auction-based platform rather than an insertion order.""]}, {""heading"": ""Programmatic Display"", ""items"": [""Scaled, automated, data-driven display bought from one DSP across many publishers, with the key advantage of cross-publisher frequency deduplication and centralised optimisation."", ""Split prospecting and retargeting into separate line items, weight the PMP-vs-open-exchange mix to brand-safety needs, and apply supply-path optimisation to cut hidden reseller fees."", ""Use pre-bid viewability and brand-safety segments, target viewability above 70% verified by DV/IAS (not DSP-reported), and validate incrementality rather than crediting every view-through.""]}, {""heading"": ""Publisher-specific notes"", ""items"": [""Taboola is a native-advertising/content-discovery network, not a traditional media owner; it places sponsored recommendations across publisher sites."", ""Best for content amplification and mid-funnel discovery; brief native, editorial-style headlines and creative rather than hard-sell display."", ""Disclose sponsored content clearly and judge on qualified traffic/engagement, not raw impressions.""]}]}"
15,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: internal biddable seat (internal_biddable)."", ""Digital channels enabled: Programmatic Video."", ""Internal biddable seat - Assembled activates this in-house through a self-serve/DSP or auction-based platform rather than an insertion order.""]}, {""heading"": ""Programmatic Video"", ""items"": [""Scaled, automated video across web, in-app and CTV with centralised audience targeting and cross-publisher frequency control; deploy for awareness/consideration where viewable completed views are the goal."", ""Match format to goal (6s bumpers, skippable, 15s non-skippable), front-load brand in the first 5 seconds, and supply vertical/square cuts with correct VAST specs per exchange."", ""Buy skippable on CPV/CPCV and bumpers on CPM, optimise to viewable completion rather than cheap CPM, and watch for auto-play/muted or fraudulent completions inflating VCR on cheap supply.""]}, {""heading"": ""Publisher-specific notes"", ""items"": [""YouTube inventory bought via DV360 as programmatic BVOD/video; combine YouTube reach with third-party supply under one DSP for deduplicated frequency."", ""Use YouTube Select for premium, brand-suitable content and align formats (bumpers, skippable in-stream) to the objective."", ""Front-load branding in the first 5 seconds and verify viewable completion independently.""]}]}"
16,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: direct publisher (direct)."", ""Digital channels enabled: Digital Display, Programmatic Display."", ""Direct publisher - Assembled typically buys via insertion order, PMP or programmatic guaranteed deals negotiated with the publisher/sales house.""]}, {""heading"": ""Digital Display"", ""items"": [""Cost-efficient reach, always-on presence and retargeting; strong for warm site/CRM audiences but a low-CTR, largely view-through channel for prospecting."", ""Traffic the full IAB suite (300x250, 728x90, 300x600, 320x50, 320x100) with responsive HTML5 plus static fallbacks; split prospecting and retargeting into separate line items with their own creative, caps and measurement."", ""Lean on contextual, first-party and PMP audiences as third-party cookies deprecate, target viewability above 70% verified independently (DV/IAS), and cap frequency (~3/day) to control cost.""]}, {""heading"": ""Programmatic Display"", ""items"": [""Scaled, automated, data-driven display bought from one DSP across many publishers, with the key advantage of cross-publisher frequency deduplication and centralised optimisation."", ""Split prospecting and retargeting into separate line items, weight the PMP-vs-open-exchange mix to brand-safety needs, and apply supply-path optimisation to cut hidden reseller fees."", ""Use pre-bid viewability and brand-safety segments, target viewability above 70% verified by DV/IAS (not DSP-reported), and validate incrementality rather than crediting every view-through.""]}]}"
17,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: direct publisher (direct)."", ""Digital channels enabled: Digital Display, Digital Video, BVOD (Broadcaster Video On Demand)."", ""Offline channels enabled (planned outside this digital best-practice, listed for reference): Television."", ""Direct publisher - Assembled typically buys via insertion order, PMP or programmatic guaranteed deals negotiated with the publisher/sales house.""]}, {""heading"": ""Digital Display"", ""items"": [""Cost-efficient reach, always-on presence and retargeting; strong for warm site/CRM audiences but a low-CTR, largely view-through channel for prospecting."", ""Traffic the full IAB suite (300x250, 728x90, 300x600, 320x50, 320x100) with responsive HTML5 plus static fallbacks; split prospecting and retargeting into separate line items with their own creative, caps and measurement."", ""Lean on contextual, first-party and PMP audiences as third-party cookies deprecate, target viewability above 70% verified independently (DV/IAS), and cap frequency (~3/day) to control cost.""]}, {""heading"": ""Digital Video"", ""items"": [""Sight-sound-motion storytelling for awareness and consideration, and a way to extend TV/BVOD reach into lighter and younger, digital-first viewers."", ""Choose format by goal (6s bumpers for reach, skippable in-stream for consideration, 15s non-skippable for a guaranteed message), front-load branding in the first 5 seconds, and supply vertical/square cuts - not just a 16:9 master."", ""Buy skippable on CPV and bumpers/non-skippable on CPM; judge on viewable completion rate (VTR/VCR) verified by DV/IAS, not out-of-view or muted auto-play completions.""]}, {""heading"": ""BVOD (Broadcaster Video On Demand)"", ""items"": [""Premium, brand-safe, full-screen non-skippable TV-quality reach in a lean-back environment (AU players: 7plus, 9Now, 10 Play, SBS On Demand); an upper-funnel channel, not click-driven."", ""Use broadcaster first-party login data for demo/geo/genre targeting, supply broadcast-grade 15s/30s masters, and prioritise big-screen/CTV delivery where co-viewing and impact are highest."", ""Traded on CPCV (guaranteed completed views); the biggest risk is over-delivery, so enforce cross-device, cross-broadcaster frequency capping at plan level rather than trusting each publisher's siloed cap.""]}, {""heading"": ""Publisher-specific notes"", ""items"": [""TVNZ is New Zealand's public broadcaster - plan this for NZ market reach, not AU; TVNZ+ is its BVOD platform (full-screen, non-skippable, CPCV)."", ""Use TVNZ first-party login data for NZ demo/geo/genre targeting, and remember NZ regulatory/content standards differ from AU (confirm category rules).""]}]}"
18,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: direct publisher (direct)."", ""Digital channels enabled: BVOD (Broadcaster Video On Demand)."", ""Offline channels enabled (planned outside this digital best-practice, listed for reference): Radio, Newspaper, Out-of-Home (OOH)."", ""Direct publisher - Assembled typically buys via insertion order, PMP or programmatic guaranteed deals negotiated with the publisher/sales house.""]}, {""heading"": ""BVOD (Broadcaster Video On Demand)"", ""items"": [""Premium, brand-safe, full-screen non-skippable TV-quality reach in a lean-back environment (AU players: 7plus, 9Now, 10 Play, SBS On Demand); an upper-funnel channel, not click-driven."", ""Use broadcaster first-party login data for demo/geo/genre targeting, supply broadcast-grade 15s/30s masters, and prioritise big-screen/CTV delivery where co-viewing and impact are highest."", ""Traded on CPCV (guaranteed completed views); the biggest risk is over-delivery, so enforce cross-device, cross-broadcaster frequency capping at plan level rather than trusting each publisher's siloed cap.""]}]}"
19,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: direct publisher (direct)."", ""Digital channels enabled: Digital Audio, Content Integration & Sponsorship."", ""Offline channels enabled (planned outside this digital best-practice, listed for reference): Radio."", ""Direct publisher - Assembled typically buys via insertion order, PMP or programmatic guaranteed deals negotiated with the publisher/sales house.""]}, {""heading"": ""Digital Audio"", ""items"": [""Upper-funnel reach and frequency channel for screen-free moments across streaming music, radio streaming and podcasts; not a direct-response workhorse on its own."", ""Write audio-first 15s/30s spots with an early brand mention and single spoken CTA, always attach a clickable companion banner, and use a consistent sonic/audio logo for recall."", ""Note billing differs by partner (Spotify bills CPCL/completed listens vs CPM elsewhere) so normalise before comparing; cap frequency across the buy and triangulate measurement with pixels, promo codes and lift studies.""]}, {""heading"": ""Content Integration & Sponsorship"", ""items"": [""Embeds the brand naturally within trusted editorial, entertainment or talent-led content; a considered, longer-lead investment for credibility and engagement, not an always-on performance lever."", ""Select the partner/talent for editorial and audience alignment, co-develop creative in the publisher's voice with clear guardrails, and negotiate repurposing rights up front to extend value."", ""Bought on fixed-cost/bespoke packages with no standard in-flight KPI; measure on reach, engagement and brand lift, and ensure sponsored content is clearly disclosed to meet ACMA and AANA rules.""]}, {""heading"": ""Publisher-specific notes"", ""items"": [""SEN is Australia's sports radio/audio network; its strength is a highly engaged, male-skewed sports audience across radio, digital audio and podcasts."", ""Content integration and host-read/talent endorsement carry strong credibility with sports fans - brief for authenticity, not scripted reads."", ""Ideal for endemic sports, betting-compliant (subject to category rules) and male-skew brands.""]}]}"
20,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: direct publisher (direct)."", ""Digital channels enabled: Digital Audio, Programmatic Audio."", ""Offline channels enabled (planned outside this digital best-practice, listed for reference): Radio."", ""Direct publisher - Assembled typically buys via insertion order, PMP or programmatic guaranteed deals negotiated with the publisher/sales house.""]}, {""heading"": ""Digital Audio"", ""items"": [""Upper-funnel reach and frequency channel for screen-free moments across streaming music, radio streaming and podcasts; not a direct-response workhorse on its own."", ""Write audio-first 15s/30s spots with an early brand mention and single spoken CTA, always attach a clickable companion banner, and use a consistent sonic/audio logo for recall."", ""Note billing differs by partner (Spotify bills CPCL/completed listens vs CPM elsewhere) so normalise before comparing; cap frequency across the buy and triangulate measurement with pixels, promo codes and lift studies.""]}, {""heading"": ""Programmatic Audio"", ""items"": [""Digital audio bought at scale programmatically across streaming, radio streaming and podcast SSPs from one DSP, with centralised frequency management; still an upper-funnel channel."", ""Target by demo/genre/mood/daypart and first-party segments, attach companion banners with a verbal CTA, and separate scalable dynamically-inserted streaming spots from premium host-reads (direct/PMP)."", ""Streaming/podcasts typically trade on CPM while some partners (Spotify) bill CPCL - normalise before comparing; triangulate the immature AU audio measurement with pixels, promo codes and lift studies.""]}, {""heading"": ""Publisher-specific notes"", ""items"": [""Nova Entertainment trades radio, digital audio and programmatic audio with a younger, metro, music-led audience skew."", ""Use Nova's streaming and podcast inventory for targeted digital audio; pair spots with a companion banner and verbal CTA."", ""Programmatic audio here can be frequency-managed in the DSP alongside other audio SSPs.""]}]}"
21,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: internal biddable seat (internal_biddable)."", ""Digital channels enabled: Programmatic OOH (DOOH)."", ""Internal biddable seat - Assembled activates this in-house through a self-serve/DSP or auction-based platform rather than an insertion order.""]}, {""heading"": ""Programmatic OOH (DOOH)"", ""items"": [""Flexible, data-triggered DOOH across roadside, retail, transit and place-based screens (oOh!media, JCDecaux, QMS inventory) bought via a DSP/SSP; enables dayparting, triggers and dynamic creative that classic OOH lacks."", ""Plan and value audiences against MOVE 2.0 (Visibility Adjusted Contacts), build creative to each screen's native resolution/aspect ratio as glance media, and use triggers (weather, location, live data) via DCO."", ""Buy on MOVE-derived impressions, not screen plays (apply the impression multiplier); target attention/dwell (>~2.5s) and measure exposure/footfall and brand lift, not clicks.""]}, {""heading"": ""Publisher-specific notes"", ""items"": [""Vistar Media is a DOOH supply-side/DSP technology vendor, not a media owner; it is the pipe through which programmatic OOH is activated across AU screen operators."", ""Plan and value audiences on MOVE 2.0 impressions (not screen plays) and use its triggers/dayparting for contextual, data-driven DOOH delivery.""]}]}"
22,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: direct publisher (direct)."", ""Digital channels enabled: Digital Display, Programmatic Display, Content Integration & Sponsorship."", ""Direct publisher - Assembled typically buys via insertion order, PMP or programmatic guaranteed deals negotiated with the publisher/sales house.""]}, {""heading"": ""Digital Display"", ""items"": [""Cost-efficient reach, always-on presence and retargeting; strong for warm site/CRM audiences but a low-CTR, largely view-through channel for prospecting."", ""Traffic the full IAB suite (300x250, 728x90, 300x600, 320x50, 320x100) with responsive HTML5 plus static fallbacks; split prospecting and retargeting into separate line items with their own creative, caps and measurement."", ""Lean on contextual, first-party and PMP audiences as third-party cookies deprecate, target viewability above 70% verified independently (DV/IAS), and cap frequency (~3/day) to control cost.""]}, {""heading"": ""Programmatic Display"", ""items"": [""Scaled, automated, data-driven display bought from one DSP across many publishers, with the key advantage of cross-publisher frequency deduplication and centralised optimisation."", ""Split prospecting and retargeting into separate line items, weight the PMP-vs-open-exchange mix to brand-safety needs, and apply supply-path optimisation to cut hidden reseller fees."", ""Use pre-bid viewability and brand-safety segments, target viewability above 70% verified by DV/IAS (not DSP-reported), and validate incrementality rather than crediting every view-through.""]}, {""heading"": ""Content Integration & Sponsorship"", ""items"": [""Embeds the brand naturally within trusted editorial, entertainment or talent-led content; a considered, longer-lead investment for credibility and engagement, not an always-on performance lever."", ""Select the partner/talent for editorial and audience alignment, co-develop creative in the publisher's voice with clear guardrails, and negotiate repurposing rights up front to extend value."", ""Bought on fixed-cost/bespoke packages with no standard in-flight KPI; measure on reach, engagement and brand lift, and ensure sponsored content is clearly disclosed to meet ACMA and AANA rules.""]}, {""heading"": ""Publisher-specific notes"", ""items"": [""Linkby is a performance PR / paid-editorial marketplace - brands pay on a cost-per-click basis for sponsored articles across Australian publisher mastheads."", ""It blends earned-style editorial credibility with paid, measurable traffic; ensure content is clearly disclosed as sponsored to meet ACMA/AANA rules."", ""Best for driving qualified referral traffic and content amplification rather than brand-awareness reach.""]}]}"
23,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: direct publisher (direct)."", ""Digital channels enabled: Digital Display, Search, Social Media, Programmatic Display, Programmatic Video, Programmatic BVOD."", ""Offline channels enabled (planned outside this digital best-practice, listed for reference): Newspaper, Magazines."", ""Direct publisher - Assembled typically buys via insertion order, PMP or programmatic guaranteed deals negotiated with the publisher/sales house.""]}, {""heading"": ""Digital Display"", ""items"": [""Cost-efficient reach, always-on presence and retargeting; strong for warm site/CRM audiences but a low-CTR, largely view-through channel for prospecting."", ""Traffic the full IAB suite (300x250, 728x90, 300x600, 320x50, 320x100) with responsive HTML5 plus static fallbacks; split prospecting and retargeting into separate line items with their own creative, caps and measurement."", ""Lean on contextual, first-party and PMP audiences as third-party cookies deprecate, target viewability above 70% verified independently (DV/IAS), and cap frequency (~3/day) to control cost.""]}, {""heading"": ""Search"", ""items"": [""Harvests existing high-intent demand rather than creating awareness; always run a brand campaign to defend the SERP, and keep brand and non-brand in separate campaigns so blended CPA/ROAS never flatters non-brand."", ""Use Responsive Search Ads (12-15 headlines, 4 descriptions, minimal pinning) with all extensions populated, and maintain a rigorous negative-keyword list reviewed weekly."", ""Match bid strategy to goal (tCPA lead-gen, tROAS ecommerce), give Smart Bidding ~30+ conversions/30 days before tightening targets, and judge on CPA/conversions or ROAS/revenue - CTR and CPC are diagnostics only.""]}, {""heading"": ""Social Media"", ""items"": [""Works across the funnel but pick platforms by where the audience genuinely is; lead with broad targeting plus strong creative and let the algorithm find buyers rather than over-narrowing interests."", ""Design creative per placement (9:16 vertical for Reels/Stories/TikTok, 1:1 or 4:5 in-feed), built for sound-off with captions and a hook in the first 1-2 seconds; ship multiple variants per ad set."", ""Implement CAPI (server-side) to recover post-iOS signal, consolidate ad sets to exit learning (~50 events/ad set/week), and reconcile in-platform ROAS against GA4/CRM and incrementality.""]}, {""heading"": ""Programmatic Display"", ""items"": [""Scaled, automated, data-driven display bought from one DSP across many publishers, with the key advantage of cross-publisher frequency deduplication and centralised optimisation."", ""Split prospecting and retargeting into separate line items, weight the PMP-vs-open-exchange mix to brand-safety needs, and apply supply-path optimisation to cut hidden reseller fees."", ""Use pre-bid viewability and brand-safety segments, target viewability above 70% verified by DV/IAS (not DSP-reported), and validate incrementality rather than crediting every view-through.""]}, {""heading"": ""Programmatic Video"", ""items"": [""Scaled, automated video across web, in-app and CTV with centralised audience targeting and cross-publisher frequency control; deploy for awareness/consideration where viewable completed views are the goal."", ""Match format to goal (6s bumpers, skippable, 15s non-skippable), front-load brand in the first 5 seconds, and supply vertical/square cuts with correct VAST specs per exchange."", ""Buy skippable on CPV/CPCV and bumpers on CPM, optimise to viewable completion rather than cheap CPM, and watch for auto-play/muted or fraudulent completions inflating VCR on cheap supply.""]}, {""heading"": ""Programmatic BVOD"", ""items"": [""Buys premium AU BVOD inventory (7plus, 9Now, 10 Play, SBS On Demand) programmatically via PMP/PG, adding DSP-level audience and frequency management to full-screen non-skippable TV-quality reach."", ""Access broadcaster first-party data through PMP deals for demo/geo/genre targeting, supply broadcast-grade 15s/30s masters, and prioritise big-screen/CTV for impact and co-viewing."", ""Traded on CPCV; enforce a single plan-level cross-broadcaster frequency cap in the DSP - over-delivery is the biggest risk when broadcasters cap in isolation.""]}, {""heading"": ""Publisher-specific notes"", ""items"": [""Endemic property portal - its value is high-intent, in-market rental/apartment audiences and first-party property-search behavioural data."", ""Strongest for real-estate, property developer, and endemic home/lifestyle advertisers; buy the audience/intent, not just the impressions."", ""Use its data segments to extend high-intent property audiences across display, video and social.""]}]}"
24,"{""version"": 1, ""sections"": [{""heading"": ""Publisher overview"", ""items"": [""Publisher type: direct publisher (direct)."", ""Digital channels enabled: Digital Display, Digital Video, Social Media, Programmatic Display, Programmatic Video."", ""Direct publisher - Assembled typically buys via insertion order, PMP or programmatic guaranteed deals negotiated with the publisher/sales house.""]}, {""heading"": ""Digital Display"", ""items"": [""Cost-efficient reach, always-on presence and retargeting; strong for warm site/CRM audiences but a low-CTR, largely view-through channel for prospecting."", ""Traffic the full IAB suite (300x250, 728x90, 300x600, 320x50, 320x100) with responsive HTML5 plus static fallbacks; split prospecting and retargeting into separate line items with their own creative, caps and measurement."", ""Lean on contextual, first-party and PMP audiences as third-party cookies deprecate, target viewability above 70% verified independently (DV/IAS), and cap frequency (~3/day) to control cost.""]}, {""heading"": ""Digital Video"", ""items"": [""Sight-sound-motion storytelling for awareness and consideration, and a way to extend TV/BVOD reach into lighter and younger, digital-first viewers."", ""Choose format by goal (6s bumpers for reach, skippable in-stream for consideration, 15s non-skippable for a guaranteed message), front-load branding in the first 5 seconds, and supply vertical/square cuts - not just a 16:9 master."", ""Buy skippable on CPV and bumpers/non-skippable on CPM; judge on viewable completion rate (VTR/VCR) verified by DV/IAS, not out-of-view or muted auto-play completions.""]}, {""heading"": ""Social Media"", ""items"": [""Works across the funnel but pick platforms by where the audience genuinely is; lead with broad targeting plus strong creative and let the algorithm find buyers rather than over-narrowing interests."", ""Design creative per placement (9:16 vertical for Reels/Stories/TikTok, 1:1 or 4:5 in-feed), built for sound-off with captions and a hook in the first 1-2 seconds; ship multiple variants per ad set."", ""Implement CAPI (server-side) to recover post-iOS signal, consolidate ad sets to exit learning (~50 events/ad set/week), and reconcile in-platform ROAS against GA4/CRM and incrementality.""]}, {""heading"": ""Programmatic Display"", ""items"": [""Scaled, automated, data-driven display bought from one DSP across many publishers, with the key advantage of cross-publisher frequency deduplication and centralised optimisation."", ""Split prospecting and retargeting into separate line items, weight the PMP-vs-open-exchange mix to brand-safety needs, and apply supply-path optimisation to cut hidden reseller fees."", ""Use pre-bid viewability and brand-safety segments, target viewability above 70% verified by DV/IAS (not DSP-reported), and validate incrementality rather than crediting every view-through.""]}, {""heading"": ""Programmatic Video"", ""items"": [""Scaled, automated video across web, in-app and CTV with centralised audience targeting and cross-publisher frequency control; deploy for awareness/consideration where viewable completed views are the goal."", ""Match format to goal (6s bumpers, skippable, 15s non-skippable), front-load brand in the first 5 seconds, and supply vertical/square cuts with correct VAST specs per exchange."", ""Buy skippable on CPV/CPCV and bumpers on CPM, optimise to viewable completion rather than cheap CPM, and watch for auto-play/muted or fraudulent completions inflating VCR on cheap supply.""]}, {""heading"": ""Publisher-specific notes"", ""items"": [""REA Group's realestate.com.au is Australia's dominant property portal; its edge is deep first-party, high-intent property-seeker audience and behavioural data."", ""Highly endemic for property, mortgage/finance, developer and home-services brands - activate REA audience segments across display, video and social for reach extension."", ""Buy on in-market intent and audience quality, not raw impressions; strong signal for lower-funnel property conversions.""]}]}"
